Mask Type,Method,LPIPS,PSNR,SSIM,FID,Time (s/sample),Peak Memory (MB/image)
box,LanPaint-5,0.1745375737784401,17.56893811907087,0.791620861916315,47.85004425048828,4.271872310876846,904.1995239257812
checkerboard,LanPaint-5,0.1188714529077212,21.247744454277885,0.7362652477763948,21.790130615234375,4.275075316905975,903.3167114257812
half,LanPaint-5,0.31859899607915726,13.550557696630085,0.5697773250322493,46.00758361816406,4.278978710651398,903.3167114257812
outpaint,LanPaint-5,0.5004266859993102,10.98993019830613,0.31406657799841864,64.35018920898438,4.274545564174652,903.3167114257812
